store_id,menu_name,price,menu_category,created_at,updated_at
42,참치 샐러드마요,3200,한식,-,-
42,새치 고기고기(도시락),6000,한식,-,-
42,햄치 고기고기(도시락),5000,한식,-,-
42,새우돈까스 덮밥,3600,한식,-,-
42,돈까스 덮밥,3400,한식,-,-
42,불고기 비빔밥,4500,한식,-,-
42,제육강된장 비빔밥,4500,한식,-,-
42,불고기김치 볶음밥,3700,한식,-,-
42,김치 볶음밥,2900,한식,-,-
42,육개장,3500,한식,-,-
42,김치찌개,3000,한식,-,-
42,돈까스 카레,3800,한식,-,-
42,불닭비빔밥,4500,한식,-,-
42,빅치킨 와사마요,3800,한식,-,-
42,돈치 와사마요,3800,한식,-,-
43,1인분(180g)(기본 3인분이상),-,-,-,-
43,세겹삼겹살,5000,한식,-,-
43,벌집삼겹살,5000,한식,-,-
43,목살,5000,한식,-,-
43,소차돌박이,8000,한식,-,-
43,소갈비살,9000,한식,-,-
43,볶음밥(고기추가시),2000,한식,-,-
43,공기밥,1000,한식,-,-
43,"처음처럼, 순하리사과",3000,-,-,-
43,"클라우드,청하,매화수",4000,,-,-
44,궁 칼삼겹살(180g),8900,한식,-,-
44,칼삼겹살(180g),5900,한식,-,-
44,생목살(180g),7900,한식,-,-
44,추가시,-,-,-,-
44,된장찌개,1000,한식,-,-
44,계란탕,1000,한식,-,-
44,볶음밥,2000,한식,-,-
44,냉면류,4000,한식,-,-
44,주류,-,-,-,-
44,소주,3000,-,-,-
44,맥주,4000,-,-,-
44,음료수,1000,-,-,-
45,전통우동,3500,한식,-,-
45,얼큰우동,3500,한식,-,-
45,잔치우동,4000,한식,-,-
45,옛날짜장,3500,한식,-,-
45,짜장밥,3500,한식,-,-
45,짜면밥,4000,한식,-,-
45,야채비빔밥,4000,한식,-,-
45,김밥,1500,한식,-,-
46,토종순대국,6000,한식,-,-
46,머리고기순대국,6000,한식,-,-
46,살고기순대국,6000,한식,-,-
46,순대만순대국,6000,한식,-,-
46,냉면,6000,한식,-,-
46,맛보기순대,3000,한식,-,-
46,모듬순대,12000,한식,-,-
46,찰순대,6000,한식,-,-
46,술국,13000,한식,-,-
46,야채곱창순대볶음小,19000,한식,-,-
46,야채곱창순대볶음大,25000,한식,-,-
47,마뽕,6500,양식,-,-
47,백뽕,7500,양식,-,-
47,지리뽕(월요일할인),6000,양식,-,-
47,코케뽕,7000,양식,-,-
47,데쓰뽕,8500,양식,-,-
47,부타빙뽕(여름메뉴),7500,양식,-,-
47,달링 피자(목요일할인),9400,양식,-,-
47,뽕마르크,10400,양식,-,-
47,반달,9400,양식,-,-
48,수육국밥,6500,한식,-,-
48,순대국밥,6500,한식,-,-
48,얼큰국밥,7000,한식,-,-
48,순두부국밥,7000,한식,-,-
48,직화물냉면,6500,한식,-,-
48,직화비빔냉면,6500,한식,-,-
48,명태회냉면,7000,한식,-,-
48,얼큰술국,17000,한식,-,-
48,김치찜,16000,한식,-,-
48,감자만두,4000,한식,-,-
48,소주,3500,-,-,-
48,맥주,4000,-,-,-
48,막걸리,3000,-,-,-
48,음료수,1500,-,-,-
49,스파게티,-,-,-,-
49,뚝배기누룽지 얼큰해산물 파스타,9900,양식,-,-
49,스파게티 볼로네이즈,7900,양식,-,-
